CMDLINE python script2.py
MEM 99.902344 1588687967.8807
MEM 99.902344 1588687967.9813
MEM 100.625000 1588687968.0823
MEM 101.437500 1588687968.1824
MEM 101.605469 1588687968.2828
MEM 101.750000 1588687968.3868
MEM 102.195312 1588687968.4962
MEM 102.351562 1588687968.5967
MEM 102.644531 1588687968.6970
MEM 102.828125 1588687968.7974
MEM 103.269531 1588687968.8978
MEM 103.984375 1588687968.9981
MEM 104.613281 1588687969.0988
MEM 104.917969 1588687969.1989
MEM 105.039062 1588687969.2993
MEM 106.148438 1588687969.3998
MEM 106.691406 1588687969.5126
MEM 107.789062 1588687969.6133
MEM 109.183594 1588687969.7136
MEM 109.902344 1588687969.8145
MEM 110.093750 1588687969.9146
MEM 110.949219 1588687970.0152
MEM 111.023438 1588687970.1152
MEM 111.210938 1588687970.2156
MEM 111.574219 1588687970.3258
MEM 112.191406 1588687970.4386
MEM 113.136719 1588687970.5480
MEM 113.246094 1588687970.6485
MEM 113.613281 1588687970.7492
MEM 113.656250 1588687970.8496
MEM 113.949219 1588687970.9499
MEM 113.953125 1588687971.0504
MEM 114.101562 1588687971.1505
MEM 114.734375 1588687971.2510
MEM 114.980469 1588687971.3513
MEM 115.515625 1588687971.4516
MEM 115.597656 1588687971.5609
MEM 115.785156 1588687971.6614
MEM 116.316406 1588687971.7618
MEM 117.074219 1588687971.8619
MEM 117.878906 1588687971.9627
MEM 118.593750 1588687972.0634
MEM 119.175781 1588687972.1635
MEM 119.945312 1588687972.2644
MEM 120.695312 1588687972.3747
MEM 121.710938 1588687972.4842
MEM 122.335938 1588687972.5936
MEM 122.562500 1588687972.6947
MEM 122.722656 1588687972.7951
MEM 122.890625 1588687972.8955
MEM 123.128906 1588687972.9961
MEM 123.667969 1588687973.0970
MEM 124.097656 1588687973.1979
MEM 124.894531 1588687973.2979
MEM 125.691406 1588687973.3987
MEM 125.953125 1588687973.5039
MEM 127.785156 1588687973.6048
MEM 128.074219 1588687973.7054
MEM 128.414062 1588687973.8055
MEM 128.906250 1588687973.9059
MEM 129.691406 1588687974.0063
MEM 130.375000 1588687974.1066
MEM 130.855469 1588687974.2074
MEM 132.496094 1588687974.3135
